376	Paquette, Cedric	1.000	1.650	1.650	UFA	
377	Parise, Zach	7.538	7.538	7.538	7.538	7.538
378	Pastrnak, David	6.667	6.667	6.667	6.667	6.667
379	Patrick, Nolan	3.575	3.575	RFA		
380	Paul, Nicholas	0.650	0.750	RFA		
381	Pavelski, Joe	6.000	7.000	7.000	7.000	UFA
382	Pearson, Tanner	3.750	3.750	3.750	UFA	
383	Peca, Matthew	1.300	1.300	UFA		
	Peluso, Anthony	0.650	UFA			
384	Perlini, Brendan	1.363	0.874	RFA		
385	Perreault, Mathieu	4.125	4.125	4.125	UFA	
386	Perron, David	4.000	4.000	4.000	4.000	UFA
	Perron, Francis	0.783	0.715	RFA		
387	Perry, Corey	8.625	3.250	UFA		
388	Petan, Nicolas	0.874	0.775	0.775	RFA	
140	Pettersson, Elias	3.775	3.775	3.775	RFA	
	Phillips, Matthew	0.750	0.750	0.750	RFA	
389	Pietila, Blake	0.668	0.700	UFA		
390	Pirri, Brandon	0.650	0.775	0.775	UFA	
391	Pitlick, Tyler	1.000	1.000	UFA		
839	Plekanec, Tomas	2.250	CZECH			
	Poehling, Ryan	1.492	1.492	1.492	RFA	
392	Point, Brayden	0.919	6.750	6.750	6.750	RFA
393	Pominville, Jason	5.600	UFA			
1543	Porter, Kevin	0.650	UFA			
	Prokhorkin, Nikolai	KHL	1.775	RFA		
395	Puljujarvi, Jesse	3.425	FINLAND			
394	Puempel, Matt	0.675	0.675	UFA		
396	Pyatt, Tom	1.100	UFA			
397	Quenneville, John	0.894	0.750	0.750	RFA	
398	Quine, Alan	0.700	0.735	UFA		
401	Radil, Lukas	0.750	0.700	UFA		
402	Radulov, Alexander	6.250	6.250	6.250	6.250	UFA
403	Raffl, Michael	2.350	1.600	1.600	UFA	
404	Rakell, Rickard	3.789	3.789	3.789	3.789	UFA
405	Rantanen, Mikko	1.628	9.250	9.250	9.250	9.250
479	Rask, Victor	4.000	4.000	4.000	4.000	UFA
406	Rasmussen, Michael	1.711	1.711	1.711	RFA	
407	Rattie, Ty	0.800	KHL			
	Rau, Kyle	0.700	0.700	UFA		
408	Read, Matt	0.650	UFA			
409	Reaves, Ryan	2.775	2.775	UFA		
410	Reinhart, Sam	3.650	3.650	RFA		
	Rempal, Sheldon	1.350	0.874	RFA		
411	Richardson, Brad	1.250	1.250	UFA		
